               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10545,             0.16672,            0.050158,             0.87248,             0.15462,             0.12867,            0.037525,            0.082101,             0.19982,            0.035096,            0.070667,           0.0032593,           0.0032593
                   1,            0.078364,                0.18,            0.024557,             0.64004,             0.26057,             0.11754,            0.037841,             0.07276,             0.14499,            0.022672,            0.040601,           0.0065273,           0.0065273
                   2,            0.077308,             0.16382,            0.017057,             0.63083,             0.31645,             0.15149,            0.053007,            0.067488,             0.11477,            0.014411,             0.01047,           0.0097294,           0.0097294
                   3,            0.073286,             0.15539,            0.013086,             0.69621,             0.23255,             0.17027,            0.053806,            0.063384,             0.14108,            0.010876,            0.009703,            0.009703,            0.009703
                   4,            0.065782,             0.14716,            0.010824,             0.71347,             0.37553,             0.26756,              0.1037,            0.056382,             0.11489,             0.00831,            0.009703,            0.009703,            0.009703
                   5,            0.060901,             0.14125,            0.010201,             0.71604,             0.36457,             0.24876,            0.094856,            0.057294,             0.11218,           0.0078017,            0.009604,            0.009604,            0.009604
                   6,            0.055884,             0.14787,           0.0098891,             0.75103,             0.37597,             0.35822,             0.15048,            0.053889,             0.10873,           0.0076144,            0.009505,            0.009505,            0.009505
                   7,            0.051174,              0.1397,           0.0089552,              0.8892,             0.40988,             0.47501,             0.24921,            0.044363,             0.10308,           0.0067536,            0.009406,            0.009406,            0.009406
                   8,            0.052041,              0.1399,           0.0083929,               0.901,             0.41179,             0.57582,              0.3477,            0.041284,            0.099501,           0.0066731,            0.009307,            0.009307,            0.009307
                   9,            0.046138,              0.1358,           0.0075967,             0.91652,             0.40193,             0.57102,              0.3738,              0.0402,            0.094725,            0.006747,            0.009208,            0.009208,            0.009208
                  10,            0.047929,             0.13414,           0.0073345,             0.93885,             0.41346,             0.57194,             0.34269,            0.040647,            0.095428,           0.0067574,            0.009109,            0.009109,            0.009109
                  11,             0.04655,             0.13506,           0.0073464,             0.93774,             0.42873,             0.65168,             0.39754,             0.04215,            0.091962,            0.006231,             0.00901,             0.00901,             0.00901
                  12,            0.045557,             0.13175,           0.0072736,             0.82937,              0.4105,             0.58986,             0.35818,            0.040587,            0.094619,           0.0060865,            0.008911,            0.008911,            0.008911
                  13,             0.04504,             0.13049,           0.0068031,             0.95417,             0.42692,             0.62128,             0.43954,            0.035373,            0.086249,           0.0058652,            0.008812,            0.008812,            0.008812
                  14,            0.043233,             0.13106,           0.0067896,             0.93953,             0.43664,             0.63455,             0.41098,            0.038896,            0.093953,           0.0055958,            0.008713,            0.008713,            0.008713
                  15,            0.042188,              0.1271,           0.0062838,             0.90108,             0.42953,             0.62131,             0.40125,            0.039242,            0.089314,            0.005603,            0.008614,            0.008614,            0.008614
                  16,            0.042412,             0.12136,           0.0060483,             0.91756,             0.43408,             0.65108,              0.4385,            0.037519,            0.086579,           0.0054868,            0.008515,            0.008515,            0.008515
                  17,            0.041415,             0.11929,           0.0059026,             0.95593,             0.43779,             0.64955,             0.43779,            0.035293,            0.086455,            0.005524,            0.008416,            0.008416,            0.008416
                  18,            0.041799,             0.12334,            0.006093,             0.95417,             0.43075,             0.62102,             0.42464,            0.034801,            0.086101,           0.0054374,            0.008317,            0.008317,            0.008317
                  19,            0.041697,             0.12278,           0.0058893,             0.95545,             0.44201,              0.6828,             0.47799,            0.033661,            0.080777,           0.0053187,            0.008218,            0.008218,            0.008218
                  20,            0.040922,             0.12308,           0.0062338,             0.94695,             0.44793,             0.65454,             0.46954,            0.034851,            0.082134,           0.0055126,            0.008119,            0.008119,            0.008119
                  21,            0.040187,             0.11648,            0.005461,             0.96338,             0.44593,              0.6874,             0.44419,            0.036622,            0.085509,           0.0050473,             0.00802,             0.00802,             0.00802
                  22,             0.03937,             0.11628,           0.0063794,             0.95931,             0.44209,             0.63889,             0.41661,            0.037988,            0.086575,           0.0049614,            0.007921,            0.007921,            0.007921
                  23,            0.039528,             0.12159,           0.0055153,             0.96602,             0.43858,             0.62683,             0.43767,            0.033799,            0.083868,           0.0049807,            0.007822,            0.007822,            0.007822
                  24,            0.040933,             0.11175,           0.0050618,             0.96997,             0.44003,             0.66755,             0.45358,            0.034515,             0.08242,           0.0049778,            0.007723,            0.007723,            0.007723
                  25,            0.039094,             0.11918,            0.005352,             0.96062,             0.44986,             0.62933,             0.43087,            0.033295,            0.083355,           0.0049118,            0.007624,            0.007624,            0.007624
                  26,            0.037861,             0.11355,           0.0050898,             0.96502,             0.44794,              0.6303,             0.44408,            0.033025,            0.081375,           0.0049187,            0.007525,            0.007525,            0.007525
                  27,            0.036333,             0.10981,           0.0050146,             0.96129,              0.4511,             0.64696,             0.41439,            0.035294,            0.085364,           0.0048186,            0.007426,            0.007426,            0.007426
                  28,            0.036276,             0.10572,           0.0055804,             0.96995,             0.44375,             0.66406,             0.45752,            0.033266,            0.081745,           0.0053125,            0.007327,            0.007327,            0.007327
                  29,            0.035137,              0.1141,           0.0047293,             0.96804,             0.44784,             0.64237,               0.441,            0.033766,             0.07983,           0.0050302,            0.007228,            0.007228,            0.007228
                  30,            0.035267,             0.11473,            0.004984,             0.96981,             0.45038,             0.62819,             0.44983,            0.031751,            0.078474,           0.0047119,            0.007129,            0.007129,            0.007129
                  31,            0.037055,              0.1103,           0.0045362,             0.96521,             0.45513,             0.65266,             0.46499,            0.033681,            0.078764,           0.0047559,             0.00703,             0.00703,             0.00703
                  32,            0.037914,             0.11174,           0.0045835,             0.97396,             0.44621,             0.66922,             0.47503,             0.03158,            0.075513,           0.0046785,            0.006931,            0.006931,            0.006931
                  33,            0.035719,             0.11016,           0.0048241,             0.96825,             0.45254,             0.66752,             0.46944,             0.03234,            0.080836,           0.0047718,            0.006832,            0.006832,            0.006832
                  34,            0.034573,               0.111,            0.004602,             0.96627,             0.45381,             0.63751,             0.43418,            0.032881,            0.081136,           0.0048198,            0.006733,            0.006733,            0.006733
                  35,            0.035038,             0.10691,           0.0048766,             0.96951,             0.45423,              0.6654,             0.49002,            0.030934,             0.07567,           0.0047341,            0.006634,            0.006634,            0.006634
                  36,            0.034685,             0.10784,           0.0047082,              0.7736,             0.56829,             0.67652,             0.47658,            0.033588,            0.080613,           0.0044478,            0.006535,            0.006535,            0.006535
                  37,            0.036233,             0.10281,           0.0048351,             0.77471,             0.57073,             0.68642,             0.49272,            0.030984,            0.076771,           0.0045128,            0.006436,            0.006436,            0.006436
                  38,            0.034292,             0.10897,           0.0047008,             0.77219,             0.57173,             0.71068,             0.51958,            0.030996,            0.077368,           0.0042743,            0.006337,            0.006337,            0.006337
                  39,            0.032873,             0.10257,           0.0042152,             0.76539,               0.567,             0.69689,             0.52627,            0.029851,            0.071179,           0.0043641,            0.006238,            0.006238,            0.006238
